node	h*	cg(transform = adapt_costs(cost_type = one))	ff(transform = adapt_costs(cost_type = one))	edges	edge costs
0	11	12	9	1,2,3,4,5,6,7,8,9	1,1,1,1,1,1,1,1,1
1	12	8	9	0	1
2	10	11	8	10,0,11,12,13	1,1,1,1,1
3	10	11	8	247,0,237,238,241	1,1,1,1,1
4	10	11	8	250,0,240,239,244	1,1,1,1,1
5	10	11	8	253,0,243,242,245	1,1,1,1,1
6	10	11	8	16,237,240,243,0	1,1,1,1,1
7	10	11	8	248,11,239,242,0	1,1,1,1,1
8	10	11	8	251,12,238,245,0	1,1,1,1,1
9	10	11	8	254,13,241,244,0	1,1,1,1,1
10	11	7	8	2,14	1,1
11	9	12	8	206,7,2	1,1,1
12	9	12	8	215,8,2	1,1,1
13	9	12	8	225,9,2	1,1,1
14	10	6	7	15,10,16	1,1,1
15	9	9	7	14,17,18,19,20,21,22	1,1,1,1,1,1,1
16	11	7	8	6,14	1,1
17	8	8	6	23,15,24,25	1,1,1,1
18	8	8	6	187,15,159,177	1,1,1,1
19	8	8	6	197,15,167,179	1,1,1,1
20	8	8	6	31,159,167,15	1,1,1,1
21	8	8	6	189,24,179,15	1,1,1,1
22	8	8	6	199,25,177,15	1,1,1,1
23	7	5	6	17,26,27	1,1,1
24	7	8	6	134,21,17	1,1,1
25	7	8	6	138,22,17	1,1,1
26	6	4	5	28,29,23,30,31	1,1,1,1,1
27	8	8	7	237,30,23	1,1,1
28	5	6	5	26,32,33,34,35	1,1,1,1,1
29	7	5	6	205,26,206	1,1,1
30	7	5	6	207,27,26	1,1,1
31	7	5	6	20,206,26	1,1,1
32	4	5	4	36,28,37	1,1,1
33	4	5	4	91,28,81	1,1,1
34	4	5	4	87,81,28	1,1,1
35	4	5	4	94,37,28	1,1,1
36	5	3	4	32,82,129,130	1,1,1,1
37	3	4	3	38,35,32	1,1,1
38	2	2	2	37,39,40	1,1,1
39	1	1	1	41,42,43,38,44	1,1,1,1,1
40	1	1	1	45,44,46,47,38	1,1,1,1,1
41	2	2	2	39,48	1,1
42	2	2	2	49,39,50	1,1,1
43	2	2	2	54,39,55	1,1,1
44	0	0	0		
45	2	2	2	40,59	1,1
46	2	2	2	60,61,40	1,1,1
47	2	2	2	64,65,40	1,1,1
48	3	3	3	82,79,41	1,1,1
49	3	4	3	42,109,110	1,1,1
50	1	1	1	51,44,52,53,42	1,1,1,1,1
51	2	2	2	50,68	1,1
52	2	2	2	69,65,50	1,1,1
53	2	2	2	70,71,50	1,1,1
54	3	4	3	43,111,112	1,1,1
55	1	1	1	56,44,57,58,43	1,1,1,1,1
56	2	2	2	55,74	1,1
57	2	2	2	75,61,55	1,1,1
58	2	2	2	76,71,55	1,1,1
59	3	3	3	88,45,72	1,1,1
60	3	4	3	46,113,114	1,1,1
61	1	1	1	62,57,46,63,44	1,1,1,1,1
62	2	2	2	61,68	1,1
63	2	2	2	77,61,78	1,1,1
64	3	4	3	47,115,116	1,1,1
65	1	1	1	66,52,47,67,44	1,1,1,1,1
66	2	2	2	65,74	1,1
67	2	2	2	80,65,78	1,1,1
