node,h*,h1,edges,edge costs
0,11,9, 1 2 3 4 5 6 7 8 9, 1 1 1 1 1 1 1 1 1
1,12,9, 0, 1
2,10,8, 10 0 11 12 13, 1 1 1 1 1
3,10,8, 14 0 15 16 17, 1 1 1 1 1
4,10,8, 18 0 19 20 21, 1 1 1 1 1
5,10,8, 22 0 23 24 25, 1 1 1 1 1
6,10,8, 26 15 19 23 0, 1 1 1 1 1
7,10,8, 27 11 20 24 0, 1 1 1 1 1
8,10,8, 28 12 16 25 0, 1 1 1 1 1
9,10,8, 29 13 17 21 0, 1 1 1 1 1
10,11,8, 2 30, 1 1
11,9,8, 222 7 2, 1 1 1
12,9,8, 223 8 2, 1 1 1
13,9,8, 224 9 2, 1 1 1
14,11,8, 3 252, 1 1
15,9,8, 51 6 3, 1 1 1
16,9,8, 243 8 3, 1 1 1
17,9,8, 245 9 3, 1 1 1
18,11,8, 4 253, 1 1
19,9,8, 220 6 4, 1 1 1
20,9,8, 244 7 4, 1 1 1
21,9,8, 247 9 4, 1 1 1
22,11,8, 5 254, 1 1
23,9,8, 221 6 5, 1 1 1
24,9,8, 246 7 5, 1 1 1
25,9,8, 248 8 5, 1 1 1
26,11,8, 6 30, 1 1
27,11,8, 7 252, 1 1
28,11,8, 8 253, 1 1
29,11,8, 9 254, 1 1
30,10,7, 31 10 26, 1 1 1
31,9,7, 30 32 33 34 35 36 37, 1 1 1 1 1 1 1
32,8,6, 38 31 39 40, 1 1 1 1
33,8,6, 41 31 42 43, 1 1 1 1
34,8,6, 44 31 45 46, 1 1 1 1
35,8,6, 47 42 45 31, 1 1 1 1
36,8,6, 48 39 46 31, 1 1 1 1
37,8,6, 49 40 43 31, 1 1 1 1
38,7,6, 32 50 51, 1 1 1
39,7,6, 162 36 32, 1 1 1
40,7,6, 166 37 32, 1 1 1
41,7,6, 33 183 220, 1 1 1
42,7,6, 153 35 33, 1 1 1
43,7,6, 178 37 33, 1 1 1
44,7,6, 34 185 221, 1 1 1
45,7,6, 168 35 34, 1 1 1
46,7,6, 180 36 34, 1 1 1
47,7,6, 35 222 50, 1 1 1
48,7,6, 36 223 183, 1 1 1
49,7,6, 37 224 185, 1 1 1
50,6,5, 52 53 38 54 47, 1 1 1 1 1
51,8,7, 15 54 38, 1 1 1
52,5,5, 50 55 56 57 58, 1 1 1 1 1
53,7,6, 225 50 222, 1 1 1
54,7,6, 226 51 50, 1 1 1
55,4,4, 59 52 60, 1 1 1
56,4,4, 136 52 104, 1 1 1
57,4,4, 133 104 52, 1 1 1
58,4,4, 139 60 52, 1 1 1
59,5,4, 55 105 152 153, 1 1 1 1
60,3,3, 61 58 55, 1 1 1
61,2,2, 60 62 63, 1 1 1
