,#0,,9
#0,#1,1,9
#0,#2,1,8
#0,#3,1,8
#0,#4,1,8
#0,#5,1,8
#0,#6,1,8
#0,#7,1,8
#0,#8,1,8
#0,#9,1,8
#2,#10,1,8
#2,#0,1,
#2,#11,1,8
#2,#12,1,8
#2,#13,1,8
#3,#14,1,8
#3,#0,1,
#3,#15,1,8
#3,#16,1,8
#3,#17,1,8
#4,#18,1,8
#4,#0,1,
#4,#19,1,8
#4,#20,1,8
#4,#21,1,8
#5,#22,1,8
#5,#0,1,
#5,#23,1,8
#5,#24,1,8
#5,#25,1,8
#6,#26,1,8
#6,#15,1,
#6,#19,1,
#6,#23,1,
#6,#0,1,
#7,#27,1,8
#7,#11,1,
#7,#20,1,
#7,#24,1,
#7,#0,1,
#8,#28,1,8
#8,#12,1,
#8,#16,1,
#8,#25,1,
#8,#0,1,
#9,#29,1,8
#9,#13,1,
#9,#17,1,
#9,#21,1,
#9,#0,1,
#10,#2,1,
#10,#30,1,7
#30,#31,1,7
#30,#10,1,
#30,#26,1,
#31,#30,1,
#31,#32,1,6
#31,#33,1,6
#31,#34,1,6
#31,#35,1,6
#31,#36,1,6
#31,#37,1,6
#32,#38,1,6
#32,#31,1,
#32,#39,1,6
#32,#40,1,6
#33,#41,1,6
#33,#31,1,
#33,#42,1,6
#33,#43,1,6
#34,#44,1,6
#34,#31,1,
#34,#45,1,6
#34,#46,1,6
#35,#47,1,6
#35,#42,1,
#35,#45,1,
#35,#31,1,
#36,#48,1,6
#36,#39,1,
#36,#46,1,
#36,#31,1,
#37,#49,1,6
#37,#40,1,
#37,#43,1,
#37,#31,1,
#38,#32,1,
#38,#50,1,5
#38,#51,1,7
#50,#52,1,5
#50,#53,1,6
#50,#38,1,
#50,#54,1,6
#50,#47,1,
#52,#50,1,
#52,#55,1,4
#52,#56,1,4
#52,#57,1,4
#52,#58,1,4
#55,#59,1,4
#55,#52,1,
#55,#60,1,3
#60,#61,1,2
#60,#58,1,
#60,#55,1,
#61,#60,1,
#61,#62,1,1
#61,#63,1,1
#62,#64,1,2
#62,#65,1,2
#62,#66,1,2
#62,#61,1,
#62,#67,1,0
#63,#68,1,2
#63,#67,1,
#63,#69,1,2
#63,#70,1,2
#63,#61,1,
#64,#62,1,
#64,#71,1,3
#65,#72,1,3
#65,#62,1,
#65,#73,1,1
#73,#74,1,2
#73,#67,1,
#73,#75,1,2
#73,#76,1,2
#73,#65,1,
#66,#77,1,3
#66,#62,1,
#66,#78,1,1
#78,#79,1,2
#78,#67,1,
#78,#80,1,2
#78,#81,1,2
#78,#66,1,
#68,#63,1,
#68,#82,1,3
#69,#83,1,3
#69,#84,1,1
#69,#63,1,
#84,#85,1,2
#84,#80,1,
#84,#69,1,
#84,#86,1,2
#84,#67,1,
#70,#87,1,3
#70,#88,1,1
#70,#63,1,
#88,#89,1,2
#88,#75,1,
#88,#70,1,
#88,#90,1,2
#88,#67,1,
#74,#73,1,
#74,#91,1,3
#75,#92,1,3
#75,#88,1,
#75,#73,1,
#76,#93,1,3
#76,#94,1,1
#76,#73,1,
#94,#95,1,2
#94,#76,1,
#94,#81,1,
#94,#96,1,2
#94,#67,1,
#79,#78,1,
#79,#97,1,3
#80,#98,1,3
#80,#84,1,
#80,#78,1,
#81,#99,1,3
#81,#94,1,
#81,#78,1,
#85,#84,1,
#85,#91,1,
#86,#100,1,3
#86,#84,1,
#86,#101,1,1
#101,#102,1,2
#101,#67,1,
#101,#86,1,
#101,#90,1,
#101,#96,1,
#89,#88,1,
#89,#97,1,
#90,#103,1,3
#90,#88,1,
#90,#101,1,
#95,#94,1,
#95,#82,1,
#96,#104,1,3
#96,#94,1,
#96,#101,1,
#102,#101,1,
#102,#71,1,
#71,#105,1,3
#71,#102,1,
#71,#64,1,
#72,#65,1,
#72,#106,1,4
#72,#107,1,4
#77,#66,1,
#77,#108,1,4
#77,#109,1,4
#82,#110,1,3
#82,#68,1,
#82,#95,1,
#83,#69,1,
#83,#111,1,4
#83,#112,1,4
#87,#70,1,
#87,#113,1,4
#87,#114,1,4
#91,#115,1,3
#91,#74,1,
#91,#85,1,
#92,#75,1,
#92,#116,1,4
#92,#117,1,4
#93,#76,1,
#93,#118,1,4
#93,#119,1,4
#97,#120,1,3
#97,#79,1,
#97,#89,1,
#98,#80,1,
#98,#121,1,4
#98,#122,1,4
#99,#81,1,
#99,#123,1,4
#99,#124,1,4
#100,#86,1,
#100,#125,1,4
#100,#126,1,4
#103,#90,1,
#103,#127,1,4
#103,#128,1,4
#104,#96,1,
#104,#57,1,
#104,#56,1,
#105,#71,1,
#105,#129,1,4
#105,#130,1,4
#105,#59,1,
#105,#131,1,4
#105,#132,1,4
#105,#133,1,4
#110,#82,1,
#110,#134,1,4
#110,#135,1,4
#110,#136,1,4
#110,#137,1,4
#110,#138,1,4
#110,#139,1,4
#115,#91,1,
#115,#140,1,4
#115,#141,1,4
#115,#142,1,4
#115,#143,1,4
#115,#144,1,4
#115,#145,1,4
#120,#97,1,
#120,#146,1,4
#120,#147,1,4
